method,source,image,prediction_path,pred_n,gt_n,dice,binary_iou,pq,sq,rq,aji,precision,recall,f1,tp,fp,fn
cellsam_generalist,livecell,livecell_A172_Phase_A7_1_03d00h00m_2.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/livecell_A172_Phase_A7_1_03d00h00m_2_cellsam.tif,149,474,0.47368433041683655,0.3103449305124409,0.26224015784684573,0.6864521778932139,0.38202247191011235,0.20402129404375646,0.7986577181208053,0.2510548523206751,0.38202247191011235,119,30,355
cellsam_generalist,livecell,livecell_A172_Phase_A7_1_03d00h00m_3.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/livecell_A172_Phase_A7_1_03d00h00m_3_cellsam.tif,215,476,0.6316908941136935,0.461658035743702,0.3282747418766601,0.6873874140508247,0.47756874095513746,0.27354290516031043,0.7674418604651163,0.34663865546218486,0.47756874095513746,165,50,311
cellsam_generalist,livecell,livecell_A172_Phase_A7_1_03d00h00m_4.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/livecell_A172_Phase_A7_1_03d00h00m_4_cellsam.tif,91,455,0.34586691583928364,0.20909255679072014,0.17479266264499763,0.6915709695954254,0.25274725274725274,0.1350393321196241,0.7582417582417582,0.15164835164835164,0.25274725274725274,69,22,386
cellsam_generalist,livecell,livecell_A172_Phase_A7_2_00d00h00m_1.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/livecell_A172_Phase_A7_2_00d00h00m_1_cellsam.tif,56,61,0.7137142497165175,0.5548644611504273,0.3823305857487214,0.6578335078323588,0.5811965811965812,0.3675935299058778,0.6071428571428571,0.5573770491803278,0.5811965811965812,34,22,27
cellsam_generalist,livecell,livecell_A172_Phase_A7_2_00d00h00m_2.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/livecell_A172_Phase_A7_2_00d00h00m_2_cellsam.tif,73,75,0.6226779835080195,0.4520932476589399,0.27693285652109095,0.585515182358878,0.47297297297297297,0.20850520167913852,0.4794520547945205,0.4666666666666667,0.47297297297297297,35,38,40
cellsam_generalist,livecell,livecell_A172_Phase_A7_2_00d00h00m_3.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/livecell_A172_Phase_A7_2_00d00h00m_3_cellsam.tif,76,78,0.6602629941990829,0.49283030276853973,0.26238826265582793,0.6313717570155859,0.4155844155844156,0.21390440066027464,0.42105263157894735,0.41025641025641024,0.4155844155844156,32,44,46
cellsam_generalist,livecell,livecell_A172_Phase_A7_2_00d00h00m_4.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/livecell_A172_Phase_A7_2_00d00h00m_4_cellsam.tif,75,78,0.7311696762648446,0.5762548881338547,0.35152917438083225,0.6402852819079444,0.5490196078431373,0.29774806474313864,0.56,0.5384615384615384,0.5490196078431373,42,33,36
cellsam_generalist,livecell,livecell_A172_Phase_A7_2_00d04h00m_1.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/livecell_A172_Phase_A7_2_00d04h00m_1_cellsam.tif,63,66,0.8673371999119007,0.7657505833549391,0.582690389581429,0.7516706025600434,0.7751937984496124,0.6241993731261924,0.7936507936507936,0.7575757575757576,0.7751937984496124,50,13,16
cellsam_generalist,livecell,livecell_A172_Phase_A7_2_00d04h00m_2.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/livecell_A172_Phase_A7_2_00d04h00m_2_cellsam.tif,74,79,0.8631103816167419,0.7591857359416733,0.5986349473591723,0.7269138646504235,0.8235294117647058,0.6122523237736098,0.8513513513513513,0.7974683544303798,0.8235294117647058,63,11,16
cellsam_generalist,livecell,livecell_A172_Phase_A7_2_00d04h00m_3.png,/backup/taotao_work/sam_cell/experiments/cellcosmos_full_16777_20260503/cellsam_generalist/predictions/labels/livecell_A172_Phase_A7_2_00d04h00m_3_cellsam.tif,81,84,0.8605790868630294,0.7552775949089313,0.5589085528344819,0.7319040572832501,0.7636363636363637,0.5495144126459345,0.7777777777777778,0.75,0.7636363636363637,63,18,21
