method,source,n,aji,binary_iou,dice,f1,fn,fp,gt_n,pq,precision,pred_n,recall,rq,sq,tp
hovernet_fast_pannuke,ALL,3472,0.27336938592669857,0.3453383539106355,0.4005893099799627,0.3383863053414882,101.63911290322581,5.058179723502304,110.93634792626727,0.2700192612415939,0.8079588996381852,14.35541474654378,0.378938327293301,0.3383863053414882,0.3905889755923965,9.297235023041475
hovernet_fast_pannuke,cellpose,147,0.0,0.0,0.0,0.0,126.62585034013605,0.0,126.62585034013605,0.0,1.0,0.0,0.0,0.0,0.0,0.0
hovernet_fast_pannuke,dsb2018,142,0.05711132784427318,0.08342486008035602,0.10309062473675838,0.07959735413751975,39.83098591549296,1.5492957746478873,42.53521126760563,0.060978621660483665,0.9294774734077685,4.253521126760563,0.08011447738038177,0.07959735413751975,0.12402625141525407,2.704225352112676
hovernet_fast_pannuke,livecell,149,0.0003586095197476651,0.0008203667087467742,0.0016238482066985487,0.001016208377504187,286.6845637583893,0.7718120805369127,287.1275167785235,0.0006029402231861238,0.8697303932858034,1.2147651006711409,0.000518222457000555,0.001016208377504187,0.05467003249786807,0.4429530201342282
hovernet_fast_pannuke,pannuke,1677,0.5610085223494465,0.7076721395651516,0.8201750678977556,0.6934365363421625,5.33571854502087,10.175909361955874,24.220035778175312,0.5536281864925345,0.6476649473653127,29.060226595110315,0.7775344277518716,0.6934365363421625,0.7870872643558409,18.88431723315444
hovernet_fast_pannuke,tissuenet,1357,0.00012083609811823186,0.0002063536889857055,0.0003918005088257489,0.0003905242181761084,204.09506263817244,0.11938098747236552,204.21370670596906,0.0002384700912235242,0.9657505917381443,0.2380250552689757,0.00021751369811737203,0.0003905242181761084,0.007680190411869649,0.11864406779661017
hovernet_fast_pannuke,SOURCE_MACRO,5,0.12371985916231712,0.15842474400864803,0.18505626827000765,0.1548881246150725,,,,0.12308964369348559,0.8825246811594057,,0.17167692825747427,,,
