model,core_n,core_pq,core_aji,core_dice,far_n,far_pq,far_aji,far_dice,delta_far_minus_core_pq,notes
CellSAM generalist,336,0.4300487430866549,0.3975248580654299,0.6298409927395673,1795,0.637605023828631,0.6414394848143539,0.8730466476499626,0.20755628074197613,public generalist; filtered from full 16777 per-image metrics
Cellpose official cyto3,336,0.23198786046686465,0.1970687364417943,0.3580939759571179,1795,0.41220705451893297,0.38701911754078144,0.6607192039135301,0.18021919405206832,public official cyto3; not core-domain finetuned
"Cellpose cyto3, PanNuke-finetuned",336,0.6207175378776055,0.615648226377466,0.7910595801922741,1795,0.024681420000858715,0.018659974922026482,0.05510187340928189,-0.5960361178767468,core-domain supervised baseline
"StarDist, PanNuke-trained",336,0.6261177456131188,0.620731318057269,0.7993598460065028,1795,0.022308426168087283,0.01822020340927587,0.042768878617634995,-0.6038093194450316,core-domain supervised baseline
Native SAM2 automatic dense,336,0.05812633417651257,0.01925899638387412,0.2906953446256271,1795,0.18133397255212788,0.12001632581411906,0.5950041407002775,0.12320763837561531,"automatic masks, no SAM-Cell prompts"
HoVer-Net fast PanNuke,336,0.5498575909739474,0.5610906055913434,0.8171248806255595,1795,0.0050542653386260366,0.004639117525056064,0.008586348404397946,-0.5448033256353213,official PanNuke weights; filtered from Core3500 per-image metrics
SAM-Cell refine final,336,0.575994959999372,0.5960057332057436,0.8093899791936863,1795,0.6345691724887311,0.6347421976436763,0.9117178293541993,0.05857421248935912,final accepted SAM-Cell config; filtered from full 16777 metrics
