delta,source,n,pq_win_rate,pq_loss_rate,mean_delta_pq,median_delta_pq,mean_delta_aji,median_delta_aji,mean_delta_dice,median_delta_dice
crop_coarse_reinsertion_over_proposal_map,ALL,1795,0.022284122562674095,0.02395543175487465,-3.1860316125976763e-07,0.0,1.5167855649319046e-06,0.0,0.0,0.0
crop_coarse_reinsertion_over_proposal_map,cellpose,147,0.272108843537415,0.2925170068027211,-3.8904263568794755e-06,0.0,1.8521293122807952e-05,0.0,0.0,0.0
crop_coarse_reinsertion_over_proposal_map,dsb2018,142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crop_coarse_reinsertion_over_proposal_map,livecell,149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crop_coarse_reinsertion_over_proposal_map,tissuenet,1357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_proposal_selection_over_raw_watershed,ALL,1795,0.6545961002785515,0.0072423398328690805,0.0201838896462855,0.0029544041898179607,0.007653055056175133,0.0001348814909057361,0.0006917591874972446,0.0
current_proposal_selection_over_raw_watershed,cellpose,147,0.9931972789115646,0.006802721088435374,0.19294537692734826,0.17814296717165434,0.07401398466297578,0.05747452786584284,0.006723938744276606,0.008557460398762151
current_proposal_selection_over_raw_watershed,dsb2018,142,0.2605633802816901,0.0,0.004582118375999617,0.0,0.00015258595930352011,0.0,3.788546295227943e-05,0.0
current_proposal_selection_over_raw_watershed,livecell,149,0.7651006711409396,0.013422818791946308,0.004318958134009671,0.002718799835487007,0.001258932947171064,0.00016946558815933432,0.0003323147931107123,0.0
current_proposal_selection_over_raw_watershed,tissuenet,1357,0.6470154753131908,0.007369196757553427,0.004843718449080977,0.0025659171135309355,0.0019513116175588331,0.00011217678923258756,0.00014620052043933185,0.0
edt_watershed_over_semantic_cc,ALL,1795,0.9643454038997215,0.03286908077994429,0.44928802946895524,0.49363497517979005,0.5205195716833468,0.5494572539721144,-0.0006653425766745458,-0.00019706029546251447
edt_watershed_over_semantic_cc,cellpose,147,0.8843537414965986,0.11564625850340136,0.3598258578330122,0.43581595136864903,0.570386138076697,0.6001459894686365,0.00045349521168136584,0.00019290270918059793
edt_watershed_over_semantic_cc,dsb2018,142,0.7605633802816901,0.22535211267605634,0.061484598113853865,0.0494120089688162,0.15304916079968742,0.13648321161243204,-1.4826388209226758e-05,-3.311674542511023e-05
edt_watershed_over_semantic_cc,livecell,149,1.0,0.0,0.4423563920984708,0.4536699060508405,0.4963373540099776,0.4955557759794743,-0.00042801390032870946,-2.6198509043506846e-05
edt_watershed_over_semantic_cc,tissuenet,1357,0.9904200442151806,0.007369196757553427,0.5003210732796481,0.5234408107391212,0.5562259560009513,0.5741324668307919,-0.0008806737678506134,-0.00029041393220041734
sam2_refinement_over_coarse_no_sam2,ALL,1795,0.30919220055710306,0.3041782729805014,-0.00028877854245933733,0.0,0.001173908417218476,0.0008242337993221716,-0.0008201786081694626,-0.00033498231324580185
sam2_refinement_over_coarse_no_sam2,cellpose,147,0.20408163265306123,0.20408163265306123,0.00018453119860027065,0.0,0.00017203570727526574,0.0,-8.030071106083935e-06,0.0
sam2_refinement_over_coarse_no_sam2,dsb2018,142,0.08450704225352113,0.11971830985915492,-0.00015470491694517162,0.0,-0.00022639082494990576,0.0,-2.2260054800666433e-05,0.0
sam2_refinement_over_coarse_no_sam2,livecell,149,0.348993288590604,0.4228187919463087,0.00010498521797183486,0.0,0.0010564025126015455,0.00043431056142384517,-0.00067849169774613,-0.00024131740774380184
sam2_refinement_over_coarse_no_sam2,tissuenet,1357,0.33971997052321296,0.3212969786293294,-0.0003973163369051876,0.0,0.0014418716895379196,0.0011898922326355477,-0.0010072100150815937,-0.0005816798055000572
