source,cellpose_style_selected,coarse_selected,external_selected,final_aji,final_binary_iou,final_dice,final_f1,final_fn,final_fp,final_gt_n,final_instances,final_pq,final_precision,final_pred_n,final_recall,final_rq,final_sq,final_tp,proposals,proposals_after_merge,proposals_after_ranker,proposals_after_set_selector,proposals_before_ranker,ranked_proposals,sam2_selected,separator_after_merge,separator_after_ranker,separator_after_set_selector,separator_before_ranker,separator_generated,separator_selected,universal_boundary_selected,watershed_selected
ALL,0.0,0.0,0.0,0.6182878545263122,0.7792859470193482,0.8657230203902424,0.7465546812979628,24.390475055135006,35.72724563390356,118.74459080884544,130.08136138761398,0.6083056641278347,0.711045120214411,130.08136138761398,0.8061763379738418,0.7465546812979628,0.8046464955012522,94.35411575371043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cellpose,0.0,0.0,0.0,0.8028965820681254,0.9085489405014008,0.9502978178522188,0.8996511404454196,13.146296296296295,10.037037037037036,119.77592592592593,116.66666666666667,0.7787768086100102,0.8900073014395263,116.66666666666667,0.9200043111110328,0.8996511404454196,0.8623349887951781,106.62962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dsb2018,0.0,0.0,0.0,0.8593378874794719,0.9230936753829277,0.9577755601244937,0.9168577173773947,2.726865671641791,5.413432835820895,43.971641791044775,46.658208955223884,0.8317074804046648,0.8996885688481122,46.658208955223884,0.9412584138476927,0.9168577173773947,0.9006881792527837,41.244776119402985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
livecell,0.0,0.0,0.0,0.5963662993439084,0.8609535101124557,0.9229922762368176,0.7590812642073469,71.632,91.954,280.568,300.89,0.6103659305675526,0.7273822890456152,300.89,0.8041812825712988,0.7590812642073469,0.7982990815046707,208.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pannuke,0.0,0.0,0.0,0.593369403716422,0.6971234520130613,0.8079260271799661,0.7011858245180023,5.4359618946811326,10.60439269648055,25.105054247155334,30.27348504895475,0.5749580604051403,0.6535034999061624,30.27348504895475,0.7892495551813818,0.7011858245180023,0.8074117335725559,19.6690923524742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tissuenet,0.0,0.0,0.0,0.6110204799297018,0.8325265490568005,0.9045609183193732,0.7656153339617822,41.02667998287915,59.67284919389356,203.69895848195176,222.34512769296617,0.6094823352036736,0.7389423536303616,222.34512769296617,0.803031179380375,0.7656153339617822,0.788944973195848,162.67227849907263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
